"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp56785_seq0" 0 0 0 6 0 0
"comp16206_seq0" 100 54 92 89 83 80
"comp35927_seq0" 0 0 2 0 0 9
"comp3981_seq0" 116 139 174 101 129 153
"comp259_seq1" 13400.92 14563.68 4661.39 8584.87 6629.47 8466.92
"comp17259_seq0" 25 5 13 15 9 7
"comp39886_seq0" 0 0 0 0 0 0
"comp656_seq0" 332 109.27 451.32 244.31 124.17 235.39
"comp50582_seq0" 0 0 0 0 0 0
"comp18522_seq0" 7 7 4 2 4 0
"comp11527_seq0" 1 6 2 2 0 2
"comp3593_seq0" 278.91 183.83 440.86 249.09 169.06 154.98
"comp20474_seq0" 7 17 4 6 5 9
"comp21933_seq0" 1 3 1 1 4 2
"comp24424_seq0" 1 0 4 0 3 0
"comp12130_seq0" 24 29 18 20 23 44
"comp44832_seq0" 1 0 1 1 0 1
"comp23446_seq1" 1 0 1 0 1 0
"comp25531_seq0" 1 2 1 0 4 0
"comp46259_seq0" 0 0 1 3 0 2
"comp24796_seq0" 14 5 22 15 16 22
"comp5837_seq0" 26 29 25 9 10 14
"comp17509_seq1" 17 0 2 5 3 0
"comp15219_seq0" 27 18 26 31 27 15
"comp28366_seq0" 0 0 0 15 4 20
"comp1438_seq0" 185 82 149.23 55 87.01 62.56
"comp12168_seq0" 69.25 47.83 112.7 79.94 108.05 64.49
"comp20890_seq0" 6.19 4.47 1.04 3.06 2.02 3
"comp2389_seq0" 221.15 201.5 470.39 319.79 243.41 266
"comp11124_seq0" 14 16 23 14.4 32 17
"comp22789_seq0" 14 11 5 7 17 3
"comp47206_seq0" 8 1 0 0 4 1
"comp9469_seq0" 107 81 33 64 76 113
"comp29978_seq0" 8 2 3 6 10 4
"comp14002_seq0" 1 15 2 10 14 35
"comp55880_seq0" 0 0 0 0 0 0
"comp26380_seq0" 0 11 6 11 12.25 4.45
"comp34058_seq0" 0 2 2 2 1 0
"comp42644_seq0" 0 5 3 0 2 0
"comp54650_seq0" 0 0 1 0 4 4
"comp34141_seq0" 1 1 5 3 5 2
"comp56995_seq0" 0 0 0 0 0 0
"comp56707_seq0" 0 0 0 0 0 0
"comp18115_seq0" 25 24 42.22 27 27 54
"comp19735_seq0" 15 12 10 10 25 8
"comp34878_seq0" 3 0 2 1 1 0
"comp28563_seq0" 0 0 1 0 0 4
"comp56421_seq0" 0 0 5 0 0 0
"comp41985_seq0" 0 1 0 0 0 0
"comp33867_seq0" 1 3 6 3 1 0
"comp30828_seq0" 0 0 0 0 2 5
"comp40696_seq0" 2 0 0 0 0 4
"comp24165_seq0" 0 0 5 4 2 3
"comp4959_seq0" 71.45 31.8 70.85 45.69 64.45 65.53
"comp21443_seq0" 1 2 0 6 26 3
"comp16353_seq1" 7.64 4.29 0 19.17 4.18 0
"comp26808_seq0" 27 20 9 8 15 10
"comp55308_seq0" 0 0 3 1 0 1
"comp3682_seq1" 135.92 98.54 68.1 100.89 153.67 137.52
"comp43911_seq0" 1 0 4 0 0 0
"comp11465_seq0" 73 55 56 51 55 42
"comp14143_seq0" 15 20.92 14.72 18.87 18.77 39.06
"comp18545_seq0" 2 0 4 1 8 4
"comp15220_seq1" 13 8 15 10 17 10
"comp34511_seq0" 0 1 2 1 7 0
"comp5361_seq3" 0 0 0 0 0 0
"comp44280_seq0" 0 0 0 2 0 1
"comp12263_seq0" 66 57 53 92 101 136
"comp12089_seq1" 26 2 3 15 45.98 57
"comp44482_seq0" 1 0 1 0 0 0
"comp41845_seq0" 1 0 0 1 0 0
"comp44741_seq0" 1 2 0 0 2 0
"comp10957_seq0" 4 2 6 1 5 5
"comp25191_seq1" 6 9 37 5 17 12
"comp1275_seq0" 1585.82 653 2740.9 1928 1628.84 1572
"comp21917_seq0" 13 9 16 6 16 10
"comp28912_seq0" 14 10 12 11 21 10
"comp622_seq2" 146.45 174.6 148.1 117.99 87.17 130.91
"comp24359_seq0" 5 3 0 2 0 18
"comp50345_seq0" 1 6 0 2 0 3
"comp55773_seq0" 1 1 0 11 1 1
"comp36772_seq1" 0 1 1 1 1 0
"comp36598_seq0" 1 0 10 0 1 0
"comp55430_seq0" 0 0 0 0 0 1
"comp50035_seq0" 2 0 2 0 2 0
"comp22245_seq0" 5 7 6 7 21 15
"comp37376_seq0" 0 1 1 1 0 0
"comp25256_seq0" 9 18 6 17 13 34
"comp55232_seq0" 0 0 0 0 0 8
"comp32261_seq0" 3 0 0 0 3 0
"comp49269_seq0" 0 0 0 1 1 0
"comp13505_seq1" 18 16 31 35 65 49
"comp55468_seq0" 0 0 0 1 0 0
"comp22607_seq0" 5 13 3 3 7 7
"comp1452_seq0" 49.22 104.47 16.54 66.63 167.87 102.54
"comp30500_seq0" 9 7 8 7 9 6
"comp144_seq0" 12897 9336.99 10285 9299 9385.99 12650
"comp19676_seq0" 33.22 37 50.11 16.07 31 13.16
"comp57397_seq0" 2 2 0 0 1 0
"comp30665_seq0" 8 5 18 2 5 2
"comp41699_seq0" 0 0 0 1 0 2
"comp9321_seq0" 121 84 112 127 159 168
"comp56689_seq0" 0 0 0 0 0 0
"comp2764_seq0" 87.96 124.04 87 137 95.22 141
"comp45093_seq0" 1 2 0 9 5 3
"comp28406_seq0" 0 0 1 0 0 5
"comp8897_seq0" 23 42 25 16 27 30
"comp7392_seq1" 15 0 21 10 14 11
"comp42471_seq0" 3 0 0 12 0 4
"comp39479_seq0" 0 0 0 1 0 0
"comp15704_seq0" 3 4 5 8 1 3
"comp14537_seq0" 0 2 0 0 0 0
"comp17818_seq0" 8 2 3 10 10 16
"comp14248_seq0" 72 42 80 77 118 77
"comp26520_seq0" 0 0 0 3 0 4
"comp211_seq0" 18036.62 14826.87 17473.83 13889.71 11424.83 12269.68
"comp55940_seq0" 0 0 0 0 2 2
"comp4490_seq0" 86.17 170.9 75.59 86.49 155.3 88.48
"comp13570_seq0" 68 50 79 57 56 63
"comp3350_seq0" 113.84 137.12 130.61 104.24 165.32 173.42
"comp37573_seq0" 3 2 0 2 2 11
"comp29181_seq0" 6 0 1 0 0 1
"comp44640_seq0" 0 0 0 0 1 3
"comp35802_seq0" 3 0 0 3 7 10
"comp5560_seq0" 27.14 21.73 8.94 19.04 68.38 19.89
"comp38070_seq0" 0 1 6 0 0 0
"comp23901_seq0" 6 6 12 11 10 10
"comp19904_seq1" 11 3 5 6 2 13
"comp24923_seq0" 11 5 65 3 57 8
"comp46818_seq0" 0 1 2 0 0 0
"comp40169_seq0" 2 0 0 0 2 0
"comp21434_seq0" 6 7 3 5 4 0
"comp41822_seq0" 0 0 1 0 0 5
"comp48827_seq0" 1 0 5 0 0 0
"comp1800_seq0" 166.18 210.15 180.32 120.98 182.52 187.46
"comp15858_seq0" 12 8 14 12 4 5
"comp31195_seq0" 0 0 0 1 1 1
"comp20973_seq0" 7 8 6.16 12.41 7 4
"comp22222_seq0" 2 3 3 9 10 14
"comp54372_seq0" 0 0 0 0 1 0
"comp27900_seq0" 0 2 0 1 1 3
"comp29764_seq0" 7 1 1 5 0 1
"comp868_seq1" 992.1 734.72 835.42 2376.32 1704.01 2081.13
"comp18382_seq0" 17 0 4 0 0 3
"comp11387_seq0" 48 37 24 50 57 66
"comp50322_seq0" 0 0 0 0 0 0
"comp22685_seq0" 73 24 2 4 1 12
"comp14134_seq0" 112 30 84 71 62 81
"comp22420_seq0" 1 10 0 3 1 0
"comp37049_seq0" 0 0 0 0 2 0
"comp39946_seq0" 0 0 0 0 0 3
"comp46571_seq0" 0 0 0 0 0 1
"comp37339_seq0" 2 0 0 0 0 1
"comp1225_seq1" 1643.88 777.4 1421.41 1788.46 1346.02 1551.31
"comp30250_seq1" 1 8 3 4 4 4
"comp24846_seq0" 4 1 3 3 2 0
"comp19639_seq0" 10 23 11 45 46 66
"comp21944_seq0" 2 1 3 0 4 4
"comp6273_seq0" 118 106 170 184 218 166
"comp13255_seq0" 48 47 46 41 50 39
"comp27216_seq0" 4 4 10 4 2 2
"comp20740_seq0" 3 1 3 0 12 1
"comp2368_seq1" 479.41 364.35 948.88 476.19 522.68 656.83
"comp2728_seq0" 305.17 181.04 310.21 239.04 415.03 194.06
"comp56249_seq0" 0 0 0 0 0 0
"comp52381_seq0" 0 6 0 0 1 4
"comp31766_seq0" 0 5 0 0 0 0
"comp41067_seq0" 3 0 0 1 2 0
"comp48062_seq0" 0 0 0 0 0 0
"comp19821_seq0" 1 2 1 0 0 23
"comp20281_seq0" 3 0 1 2 5 1
"comp39823_seq0" 1 0 0 2 0 2
"comp4899_seq5" 249.79 261.27 361.18 152.27 144.73 182.5
"comp58678_seq0" 0 0 1 0 0 3
"comp14688_seq0" 2 2 6 2 3 1
"comp6497_seq0" 4 6 14 32 14 1
"comp39436_seq0" 4 0 0 0 2 0
"comp10463_seq2" 106 111 53 73 88 84
"comp55291_seq0" 0 1 2 0 0 0
"comp32498_seq0" 0 0 2 0 0 0
"comp38850_seq0" 0 0 1 0 0 3
"comp2374_seq0" 0 16.46 48.26 212.14 124.24 137.15
"comp9371_seq1" 0 0 3.46 2.5 0 0
"comp15078_seq0" 6.63 5 22.07 15.45 16.33 9.1
"comp52654_seq0" 0 1 1 0 0 0
"comp483_seq0" 1006.6 630.76 964.56 1153.03 994.04 1280.66
"comp42633_seq0" 0 0 0 0 3 0
"comp36708_seq0" 4 0 0 0 2 4
"comp4133_seq0" 123 93 114 155 171 238
"comp2672_seq1" 111.47 151 128.38 98 101 104
"comp2392_seq6" 275.33 229.76 381.12 143.75 265.13 172.89
"comp22938_seq0" 0 8 1 0 2 2
"comp53830_seq0" 0 0 0 0 0 1
"comp21515_seq0" 0 18 2 3 0 267
"comp29996_seq0" 0 0 0 0 5 0
"comp27099_seq0" 13 5 25 22 9.43 4
"comp11163_seq0" 18.09 3.43 8.21 15.67 19.17 7.79
"comp14445_seq0" 1 0 2 4.05 3 1
"comp38411_seq0" 0 0 2 0 1 1
"comp45712_seq0" 0 1 0 0 0 0
"comp58169_seq0" 1 2 0 0 0 0
"comp7253_seq0" 125 65 72 97 111 109
"comp11882_seq0" 19 23 23 16 22 34
"comp18887_seq0" 38 32 62 42 53 74
"comp10846_seq2" 13.79 17.51 26.63 7.87 32.85 2.89
"comp50827_seq0" 0 0 0 0 3 0
"comp53868_seq0" 0 0 0 0 0 0
"comp27580_seq0" 1 2 0 1 1 2
"comp22960_seq0" 0 0 1 1 4 0
"comp54877_seq0" 0 0 0 0 0 0
"comp1377_seq1" 1221.88 754.67 1202.01 1769.79 1639.8 1589.87
"comp3743_seq1" 15.64 0 0 10.1 0 4.01
"comp8562_seq0" 71 37 71 34 75 72
"comp57629_seq0" 0 0 0 0 0 1
"comp24778_seq0" 0 2 0 5 10 0
"comp23767_seq0" 6 2 4 2 2 0
"comp19170_seq0" 4 9 3 5 4 5
"comp48322_seq0" 0 0 0 0 4 0
"comp41327_seq0" 0 9 2 0 3 8
"comp18413_seq0" 11 6 16 10 32 17
"comp20728_seq0" 17 5 13 11 11 2
"comp3910_seq0" 339 210 639 273 731 322
"comp23581_seq0" 1 1 2 5 0 1
"comp31161_seq0" 6 8 12 4 9 4
"comp51419_seq0" 0 3 0 0 1 0
"comp5083_seq0" 8 0 5 1 3 2
"comp30632_seq0" 6 10 2 0 5 3
"comp2921_seq1" 374.42 213.88 470.39 483.34 412.49 1358.88
"comp9924_seq0" 72 94 43 32 23 39
"comp16309_seq1" 21 9 15 21 21 18
"comp21145_seq0" 3 1 1 2 1 8
"comp24463_seq0" 0 2 4 0 0 0
"comp10614_seq1" 25.3 14.81 22.96 17.84 45.14 23.36
"comp57831_seq0" 0 0 1 0 0 1
"comp35307_seq0" 0 0 1 2 0 1
"comp8008_seq0" 1 2 9 4 5 1
"comp55265_seq0" 0 0 0 0 0 0
"comp418_seq0" 1652 1909 1761 1158 2084 2360
"comp43652_seq0" 0 0 1 0 5 2
"comp46203_seq0" 0 0 0 0 0 0
"comp6046_seq0" 7 18 118 21 20 10
"comp14935_seq0" 10 25 32 28 51 149
"comp31350_seq0" 0 0 0 1 4 3
"comp15594_seq0" 11 0 12 45 31 203
"comp22448_seq0" 10 11 8 1 11 2
"comp50062_seq0" 0 0 2 1 0 0
"comp3379_seq0" 124 231 83 62 100 36
"comp49881_seq0" 0 0 0 2 2 0
"comp32889_seq0" 1 0 0 0 1 8
"comp44628_seq0" 0 0 5 0 0 0
"comp28524_seq0" 0 0 3 1 0 0
"comp34896_seq0" 16 21.25 7.32 0 6.13 3.49
"comp31994_seq0" 6 0 3 0 2 0
"comp40678_seq0" 0 0 1 0 1 0
"comp30790_seq0" 7.4 0 6.93 8.79 14.88 3.18
"comp54057_seq0" 0 0 0 2 0 0
"comp222_seq0" 4461 3382.77 5078.3 3208.02 3148.45 3685.79
"comp27667_seq0" 2 0 2 0 0 0
"comp37201_seq0" 1 0 1 1 0 0
"comp53729_seq0" 3 0 0 0 0 0
"comp10270_seq0" 166 132 179 184 218 208
"comp18805_seq0" 14 0 0 8 11 7
"comp26237_seq0" 9 10 29 11 34 7
"comp29786_seq0" 0 0 0 0 0 0
"comp32295_seq0" 0 10 0 0 0 0
"comp4723_seq3" 126 62.09 77 40 100 73
"comp26548_seq0" 2 2 1 4 0 0
"comp1939_seq0" 355.66 358.78 248.17 442.1 455.32 442.86
"comp14220_seq0" 86 34 28 34 91 90
"comp55928_seq0" 3 1 0 0 0 1
"comp9974_seq1" 164.7 74.94 122.74 169.69 207.21 182.18
"comp2971_seq0" 159.49 235.24 195.71 112.21 201.61 176.7
"comp2813_seq0" 44 38 46 14 16 36
"comp44313_seq0" 1 1 0 0 1 3
"comp9014_seq0" 92 43 24 33 41 19
"comp10472_seq0" 38 64 111 80 91 142
"comp15197_seq0" 4 18 13 2 8 66
"comp14422_seq0" 4 3 4 3 1 7
"comp36074_seq0" 9 0 4 1 8 0
"comp11911_seq1" 135 58 110 149 151 144
"comp2622_seq0" 169.03 106.01 157.55 6631.21 291.15 2486.91
"comp43465_seq1" 0 0 0 0 0 0
"comp9051_seq0" 84.01 35.11 83.19 65.76 115.61 53.44
"comp33402_seq0" 0 0 8 0 1 0
"comp48035_seq0" 0 0 0 0 1 0
"comp48345_seq0" 1 0 0 0 0 2
"comp35385_seq0" 0 0 0 0 0 0
"comp28127_seq0" 10 0 6 8 6 1
"comp21122_seq0" 6 5 15 5 11 4
"comp33200_seq0" 0 0 0 0 8 0
"comp20869_seq0" 14 13 9 9 12 10
"comp1327_seq0" 675 308 691 1226 597 834
"comp17203_seq0" 6 7 7 6 9 3
"comp26118_seq0" 5 2 5 1 3 3
"comp12601_seq1" 45.32 36.34 72.84 35.52 7.25 30.38
"comp24004_seq0" 0 0 0 0 0 2
"comp3398_seq0" 326.02 302.76 221 334.51 343 276
"comp10693_seq0" 104 66 199 146 112 162
"comp7643_seq0" 2 3 9 10 6 16
"comp11799_seq2" 26.5 55.17 64.78 54.81 163.6 163.16
"comp33916_seq0" 0 0 2 1 7 1
"comp6660_seq1" 387 361 520 432 350 361
"comp8145_seq0" 100.3 50.55 146.71 62.71 82 37.51
"comp25796_seq1" 1 2 0 4 5 5
"comp47752_seq0" 0 0 0 0 1 0
"comp42010_seq0" 0 0 3 0 0 0
"comp56001_seq0" 0 0 0 0 1 1
"comp44146_seq0" 2 0 0 3 7 4
"comp14219_seq1" 22 27 14 23 48 20
"comp31784_seq0" 0 0 0 0 1 0
"comp57892_seq0" 3 0 0 2 1 0
"comp28083_seq0" 7 1 64 2 0 1
"comp3769_seq0" 90 108 138 102 112 131
"comp3329_seq1" 62.6 117.86 46.3 82.52 79.45 89.02
"comp30980_seq0" 0 0 1 0 0 0
"comp36854_seq0" 6 0 3 0 1 0
"comp30691_seq0" 0 0 0 0 1 1
"comp57274_seq0" 0 0 1 0 0 11
"comp3461_seq1" 385.17 315.89 294.01 707.43 562.77 748.06
"comp49492_seq0" 0 0 3 1 2 1
"comp53642_seq0" 0 0 0 1 0 0
"comp28750_seq0" 8 0 0 0 0 0
"comp29723_seq0" 0 0 0 0 0 0
"comp49290_seq0" 0 1 1 0 5 0
"comp15537_seq1" 0 0 0 0 0 0
"comp36539_seq0" 0 0 0 2 1 0
"comp47371_seq0" 4 1 0 0 1 0
"comp4037_seq0" 3 0 3 1 2 2
"comp42266_seq0" 0 0 0 0 1 0
"comp17108_seq0" 21 42 11 8 7 9
"comp26213_seq0" 1 6 5 0 2 0
"comp628_seq1" 997 1126 1602 1533 1716 1840
"comp21866_seq0" 8 2 9 4 25 23
"comp24964_seq0" 3 5 9 3 3 3
"comp43370_seq0" 0 2 0 2 3 2
"comp17989_seq1" 16 16 25 16 37 4
"comp12569_seq1" 23.41 42.68 32.79 27.86 34.53 44.17
"comp31672_seq0" 3 2 0 3 10 3
"comp38677_seq0" 1 0 0 4 1 0
"comp41184_seq0" 3 1 0 0 6 5
"comp57725_seq0" 0 0 0 0 0 0
"comp34746_seq0" 0 0 0 0 0 0
"comp56194_seq0" 0 2 0 2 0 0
"comp18914_seq0" 4 5 10 5 5 6
"comp44337_seq0" 0 0 2 0 6 0
"comp30840_seq0" 0 0 8 0 0 0
"comp52497_seq0" 1 0 1 2 0 0
"comp44047_seq0" 2 3 1 1 0 3
"comp37152_seq0" 0 3 3 7 7 9
"comp32476_seq0" 3 2 13 0 4 1
"comp8673_seq0" 32 126 26 34 88 109
"comp15096_seq0" 2.43 0 3 1 6 3.69
"comp58696_seq0" 0 0 0 0 0 0
"comp7688_seq0" 14.79 22.89 19.18 11.99 30.51 27.8
"comp39864_seq0" 0 0 0 8 0 6
"comp4920_seq1" 449 216 582 430 378 391
"comp49673_seq0" 2 1 2 0 0 1
"comp2133_seq2" 467.72 388.69 358.57 471.86 383.12 523.6
"comp7175_seq0" 117 90 199 142 163 262
"comp11925_seq0" 37 37 27 75 50 63
"comp28026_seq0" 0 0 0 1 0 0
"comp6412_seq1" 20.39 62.55 80.9 36.7 32.43 31.48
"comp41660_seq0" 0 0 1 4 0 0
"comp6977_seq0" 1 5 8 12.69 25.92 1335.07
"comp33362_seq0" 0 1 1 0 0 0
"comp41505_seq0" 0 1 0 1 0 1
"comp12679_seq0" 9 10 4 6 12 10
"comp24191_seq0" 0 1 0 2 0 4
"comp25702_seq0" 4 6 0 1 8 2
"comp41638_seq0" 0 0 1 2 1 2
"comp35525_seq0" 0 5 0 1 0 0
"comp364_seq3" 399.58 798.06 357.85 208.8 348.17 230.74
"comp39015_seq0" 0 0 0 1 0 0
"comp56961_seq0" 1 0 1 1 0 0
"comp31493_seq0" 0 0 2 1 4 4
"comp7039_seq0" 98 37 81 83 104 127
"comp22000_seq0" 9 5 7 3 5 1
"comp6030_seq0" 75 88 70 82 131 121
"comp53282_seq0" 1 0 0 3 1 0
"comp2549_seq0" 247.29 169.48 161.62 266.95 250.59 371.01
"comp37398_seq0" 2 0 0 0 1 0
"comp11268_seq0" 36 19 28 30 42 45
"comp53625_seq0" 0 0 0 0 0 0
"comp18437_seq0" 1 7 3 2 4 4
"comp11432_seq0" 12 7 0 7 3 7
"comp4319_seq0" 175 65 818 201 169 150
"comp32949_seq0" 0 11 1 1 1 1
"comp49941_seq0" 0 0 0 0 0 0
"comp28651_seq0" 0 0 2 0 0 1
"comp53480_seq0" 1 2 0 0 0 5
"comp15688_seq1" 10 8 13 8 22 14
"comp13206_seq2" 0 2.84 1.25 11.93 15.76 3.25
"comp36576_seq0" 1 0 5 2 2 0
"comp57742_seq0" 0 0 0 0 0 0
"comp6016_seq3" 0 0 0 70.74 29.6 16.64
"comp24132_seq0" 0 1 2 0 1 0
"comp57481_seq0" 0 0 0 0 0 0
"comp1842_seq0" 227 112 121 191 250 265
"comp5048_seq0" 154 149 174 161 218 252
"comp54156_seq0" 0 0 0 0 3 0
"comp45277_seq0" 0 0 0 0 0 0
"comp809_seq0" 1074 741 964 1319 1233 1325
"comp40190_seq0" 1 0 0 2 2 0
"comp12224_seq0" 25 11 14 8 11 9
"comp19762_seq0" 18 12 33 15 28 9
"comp23095_seq0" 1 1 0 2 4 0
"comp24506_seq0" 4 1 13 11 4 3
"comp50416_seq0" 0 0 0 0 0 0
"comp28384_seq0" 1 0 0 0 1 1
"comp27320_seq0" 3 0 1 1 0 1
"comp2209_seq1" 343.78 302 527.89 277.93 323 285.84
"comp50902_seq0" 0 0 0 0 0 0
"comp49431_seq0" 0 0 0 3 0 0
"comp35112_seq0" 3 0 3 0 0 0
"comp32439_seq0" 6 0 1 5 1 1
"comp36373_seq0" 1 2 5.21 8 7.71 2
"comp18947_seq0" 18 10 14 10 34 18
"comp11942_seq0" 31 21 19 59 61 7
"comp44014_seq0" 0 0 0 0 3 1
"comp46108_seq0" 0 0 0 0 0 0
"comp8812_seq1" 121 116 107 97 93 131
"comp56597_seq0" 0 1 0 0 0 0
"comp12636_seq0" 3 16 2 12 22 10
"comp16371_seq0" 40 23 34 24 40 49
"comp58355_seq0" 0 0 0 0 2 0
"comp7317_seq0" 156.22 162.21 90.72 93.91 78.88 174
"comp8623_seq1" 9.54 0 0 11.44 4.86 7.52
"comp44865_seq0" 0 0 0 0 1 0
"comp23321_seq0" 17 4 4 6 0 0
"comp35467_seq0" 0 0 0 0 0 0
"comp41761_seq0" 0 0 0 0 0 10
"comp5262_seq1" 111.07 80.06 155.26 120.92 126.97 107
"comp24303_seq0" 2 3 6 7 13 3
"comp6339_seq1" 110.39 32.77 130.95 70.89 0.21 0
"comp41587_seq0" 0 0 1 0 1 1
"comp48582_seq0" 1 0 0 0 1 2
"comp35542_seq0" 0 0 0 0 2 0
"comp19698_seq0" 0 5 3 1 0 0
"comp51985_seq0" 1 2 0 2 0 2
"comp10783_seq1" 0 0 58 36 35 9.14
"comp46421_seq0" 0 0 0 0 0 0
"comp32364_seq0" 8 5 8 9 9 4
"comp15848_seq0" 9 19 4 8 14 6
"comp50696_seq0" 0 2 1 0 0 2
"comp22570_seq0" 0 2 8 10 23 11
"comp9578_seq0" 103 41 118 105 77 77
"comp44650_seq0" 0 6 1 0 0 0
"comp36006_seq0" 2 21 9 15 6 12
"comp57910_seq0" 0 0 1 0 1 0
"comp15171_seq0" 27 15 10 47 31 32
"comp46995_seq0" 0 0 1 0 0 0
"comp46707_seq0" 0 0 0 0 3 0
"comp7839_seq0" 142.98 116.95 106.52 156 43.96 193
"comp45308_seq0" 0 0 0 2 0 0
"comp25686_seq0" 7 2 2 1 7 18
"comp39956_seq0" 0 0 1 0 0 0
"comp37059_seq0" 2 0 0 1 0 0
"comp53911_seq0" 0 1 2 1 1 0
"comp1224_seq1" 1175.89 895.66 1957 962.47 1178.35 1174.09
"comp35173_seq0" 5 0 2 1 0 0
"comp7476_seq0" 97.51 61.15 46.12 66.59 56.34 76
"comp6817_seq1" 122.15 62.13 70.61 79.57 60.41 89.95
"comp16044_seq1" 14 15 5 32 16 18
"comp24076_seq0" 3 0 2 22 21 11
"comp36312_seq0" 1 2 0 0 0 1
"comp5406_seq0" 7 14 40 179 347 168
"comp31328_seq0" 8 4 7 6 4 6
"comp20026_seq0" 13 12 8 13 10 10
"comp2130_seq1" 136.19 80.07 128 114.25 170.26 155.07
"comp37879_seq0" 2 2 0 2 0 11
"comp56259_seq0" 1 0 0 1 1 0
"comp13607_seq0" 8 4 7 8 17 12
"comp4837_seq0" 14 10 13 3 1 2
"comp19418_seq0" 18 26 22 24 16 36
"comp21954_seq0" 3 1 1 0 2 3
"comp24856_seq0" 8.49 1.64 4.65 0 2.36 0
"comp13245_seq0" 105 73 105 67 69 65
"comp649_seq0" 48.73 1449.93 33.31 27.54 41.14 12.16
"comp20750_seq0" 2 0 0 0 0 0
"comp54832_seq0" 0 0 0 1 0 4
"comp11710_seq0" 18 5 13 9 12 25
"comp8430_seq0" 39 25 19 33 24 43
"comp45880_seq0" 0 1 0 0 0 1
"comp38840_seq0" 0 1 2 0 0 0
"comp2375_seq0" 81 50 49 399 155 327
"comp52644_seq0" 0 0 0 0 0 0
"comp10914_seq0" 11 8 23 10 3 11
"comp57206_seq0" 1 0 0 0 0 1
"comp17785_seq0" 32 18 26 35 26 29
"comp30677_seq0" 0 1 5 3 5 1
"comp21390_seq0" 12 9 6 14 4 5
"comp34627_seq0" 0 0 0 0 0 0
"comp23263_seq0" 3 0 1 8 9 2
"comp8012_seq1" 7.99 7.36 20.81 10.24 16.82 40.17
"comp8972_seq0" 233 178 333 245 286 230
"comp41855_seq0" 3 0 0 0 0 0
"comp9599_seq0" 83 25 17 30 24 40
"comp44751_seq0" 0 0 0 0 1 0
"comp7426_seq1" 157 112 132 96 160 134
"comp10947_seq0" 60.99 5.22 29.15 9.91 9.27 13.45
"comp52617_seq0" 0 0 1 0 0 0
"comp11830_seq1" 48 27 60 29 41 42
"comp46785_seq0" 1 2 1 0 0 0
"comp1274_seq0" 517 373 909 1078 971 5254
"comp54891_seq0" 0 0 0 0 0 0
"comp10993_seq1" 167 184 195 178 234 312
"comp51795_seq0" 0 0 3 0 0 0
"comp29088_seq0" 0 2 0 4 18 8
"comp51907_seq0" 0 0 0 0 0 20
"comp58902_seq0" 0 0 0 0 0 0
"comp25246_seq0" 0 1 4 0 1 1
"comp40582_seq0" 0 1 1 0 8 2
"comp4810_seq1" 327.91 179.12 452.46 56.22 88.16 91
"comp49612_seq0" 2 0 0 0 0 0
"comp24349_seq0" 9 3 4 7 2 5
"comp3449_seq1" 187 218.58 109.54 92.08 102.43 119.82
"comp50355_seq0" 0 2 0 0 0 0
"comp9528_seq1" 53 49 51 86 61 49
"comp8621_seq0" 16 29 30 26 54 26
"comp24039_seq0" 0 0 2 0 0 0
"comp22255_seq0" 0 0 1 0 1 0
"comp26272_seq0" 0 1 7 0 2 0
"comp2765_seq0" 377 255 277 350 323 370
"comp37423_seq0" 2 3 0 7 4 1
"comp1966_seq2" 1510.08 930.61 1600.42 1406.09 1335.06 1326.5
"comp31613_seq0" 0 11 0 0 0 0
"comp37836_seq0" 0 1 0 2 0 0
"comp26894_seq0" 9 5 2 0 0 0
"comp55394_seq0" 0 0 0 0 1 0
"comp20651_seq0" 0 2 5 0 1 2
"comp35019_seq0" 5 0 16 0 13 8
"comp10437_seq0" 94.22 119.02 152.73 19.63 23.86 27.99
"comp26470_seq0" 0 0 0 0 0 1
"comp2117_seq0" 408.95 245.79 376 312.82 246.51 291
"comp32903_seq0" 1 0 5 9 4 0
"comp13685_seq0" 53 81 86 67 70 57
"comp51166_seq0" 8 0 0 1 0 0
"comp6830_seq0" 51.37 50.5 65.59 45.3 28.47 30.43
"comp39529_seq0" 1 6 2 0 0 1
"comp42521_seq0" 5 0 0 0 0 0
"comp26733_seq0" 5 10 7 6 35 6
"comp41075_seq0" 1 1 0 0 5 2
"comp34202_seq0" 0 0 3 0 0 0
"comp20384_seq0" 14 8 5 7 6 21
"comp58416_seq0" 0 0 0 0 0 0
"comp55950_seq0" 0 0 5 0 0 0
"comp52284_seq0" 0 0 0 4 0 0
"comp12901_seq0" 22 37 34 69 47 44
"comp48190_seq0" 3 0 0 0 0 0
"comp34400_seq0" 0 0 0 2 0 2
"comp11611_seq0" 33 7 18 20 13 7
"comp5848_seq0" 262 168 352 288 282 290
"comp17421_seq0" 17 17 5 12 19 9
"comp29355_seq1" 0 2 4 2 4 1
"comp14258_seq0" 27 39 4 64 50 58
"comp795_seq0" 796.48 489.96 616.41 712.12 600.37 387.1
"comp46249_seq0" 0 0 2 0 0 0
"comp42381_seq0" 2 0 1 0 1 0
"comp39389_seq0" 3 0 1 1 5 0
"comp7942_seq0" 47.7 35.09 40.6 41.9 58.83 68.26
"comp27192_seq0" 1 1 11 7 7 5
"comp51067_seq0" 1 1 4 0 4 5
"comp58062_seq0" 0 0 0 0 0 3
"comp11625_seq1" 26.19 43.97 12.99 14.1 39.28 22.97
