"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp48788_seq0" 0 0 0 0 0 0
"comp35748_seq0" 5 1 2 2 5 0
"comp38971_seq0" 1 2 0 2 4 0
"comp23000_seq0" 4 1 9 4 2 6
"comp52282_seq0" 1 0 0 0 0 3
"comp17_seq1" 540.21 2839.38 110.86 1372.86 7827.08 2578.38
"comp52625_seq0" 0 3 2 0 1 0
"comp2001_seq2" 1047.94 913.85 1403.35 632.03 862.99 859.78
"comp34204_seq0" 0 0 0 0 0 1
"comp4219_seq0" 338 275 420 374 371 380
"comp20382_seq0" 6 12 8 18 15 7
"comp4486_seq1" 169 151 176 154 125 182
"comp40105_seq0" 0 0 0 0 2 1
"comp26629_seq0" 4 9 9 15 5 5
"comp18641_seq0" 18 9 16 20 26 24
"comp6578_seq0" 0 0 0 0 26.96 0
"comp34615_seq0" 0 0 0 0 1 0
"comp58566_seq0" 1 3 0 0 0 0
"comp55041_seq0" 1 0 1 0 0 0
"comp55331_seq0" 0 0 0 0 0 0
"comp26831_seq0" 1 7 11 0 4 0
"comp32362_seq0" 3 6 6 5 3 1
"comp37807_seq0" 1 5 3 3 1 2
"comp13679_seq0" 7 13 4 18 37 20
"comp2857_seq0" 10 11 8.08 8.05 18 9
"comp51446_seq0" 0 1 1 0 0 0
"comp5772_seq1" 20.33 52.46 26.8 8.72 0 13.75
"comp16332_seq1" 24.58 38 27.01 3 34.66 3.5
"comp41590_seq0" 0 3 2 1 1 3
"comp44073_seq0" 2 0 2 0 0 0
"comp36314_seq0" 0 0 3 0 0 0
"comp41089_seq0" 2 0 11 0 1 8
"comp59121_seq0" 0 0 0 0 0 1
"comp16042_seq1" 35.21 17.68 92.29 13.32 24.03 17.76
"comp30609_seq0" 0 0 0 1 0 0
"comp40023_seq0" 0 0 0 0 0 1
"comp33476_seq0" 3 2 0 4 7 2
"comp17736_seq0" 4 5 11 8 5 3
"comp45683_seq0" 0 0 0 1 1 0
"comp38643_seq0" 0 0 4 2 0 3
"comp56099_seq0" 1 0 0 0 0 0
"comp7702_seq1" 66.21 21.35 100.65 69.18 58.45 76.54
"comp56580_seq0" 0 0 0 0 0 0
"comp8276_seq1" 46 45 18 78 129 82
"comp44853_seq0" 0 0 0 0 0 0
"comp54834_seq0" 0 1 0 4 0 0
"comp51936_seq0" 0 1 0 0 2 0
"comp46779_seq0" 0 0 3 0 1 0
"comp7983_seq2" 80 44 111 99 101 158
"comp53497_seq0" 1 0 0 0 0 0
"comp28957_seq0" 2 0 1 3 4 0
"comp949_seq0" 228.69 260.6 378.16 353.14 504.45 528.11
"comp21952_seq0" 8 7 3 12 6 19
"comp49647_seq0" 0 0 0 0 0 0
"comp37299_seq0" 0 0 0 0 0 0
"comp54793_seq0" 0 0 0 1 2 6
"comp42370_seq0" 0 1 0 3 6 0
"comp1192_seq1" 1619 892 1570 1051 1009 1255
"comp58363_seq0" 0 0 0 0 0 0
"comp49205_seq0" 0 2 2 0 0 0
"comp4150_seq1" 16.98 39.21 43.78 22.78 32.07 21.65
"comp7590_seq0" 195 58 7 27 15 28
"comp48998_seq0" 0 3 0 4 4 8
"comp55158_seq0" 0 0 0 0 0 0
"comp993_seq1" 986.74 800.71 1330.02 788.63 646.38 801.98
"comp40187_seq0" 0 0 0 1 9 0
"comp43266_seq0" 0 0 0 11 1 0
"comp52642_seq0" 0 1 3 0 1 2
"comp10912_seq0" 11 8 18 5 4 6
"comp3284_seq0" 166 84 136 244 205 251
"comp25508_seq0" 0 0 0 7 0 2
"comp4678_seq1" 453 302 518 493 458 541
"comp48459_seq0" 0 0 0 0 0 0
"comp11434_seq0" 18 4 42 42 54 65
"comp10973_seq0" 76.62 80 150.94 96 124 105
"comp56358_seq0" 0 1 0 1 0 1
"comp25858_seq0" 3 2 4 6 5 0
"comp2800_seq0" 697.39 638.75 1047.54 710.57 825.76 761.21
"comp13901_seq0" 3 12 7 6 7 1
"comp53284_seq0" 0 1 0 0 0 2
"comp47520_seq0" 1 0 0 0 0 0
"comp14923_seq0" 26 34 21 18 22 21
"comp9030_seq0" 21.93 0 24.21 47.06 69.62 86.57
"comp21387_seq0" 4 1 1 0 0 5
"comp28382_seq0" 16 0 5 5 29 15
"comp48105_seq0" 0 0 0 0 0 0
"comp34921_seq0" 0 9 0 2 0 0
"comp3797_seq0" 130 98 121 79 107 130
"comp33903_seq0" 0 8 6 7 8 6
"comp4664_seq0" 356 240 342 292 255 227
"comp19764_seq0" 1 0 0 3 0 3
"comp55757_seq0" 0 0 0 1 2 2
"comp17900_seq0" 0 0 0 2 8 1
"comp12222_seq0" 141 54 160 112 66 113
"comp43521_seq0" 1 2 1 1 1 0
"comp95_seq5" 1080.25 900.3 1536.82 759.68 1009.77 931.71
"comp44503_seq0" 0 0 0 0 0 0
"comp40788_seq0" 0 0 2 1 0 1
"comp4883_seq8" 6.96 16.44 42.14 33.58 9.1 34.74
"comp12420_seq0" 8 3 11 6 7 5
"comp5035_seq1" 38 52 114.04 24 47 42
"comp24134_seq0" 8 0 0 2 1 7
"comp34495_seq0" 6 0 1 3 2 2
"comp45897_seq0" 2 1 3 0 2 0
"comp57744_seq0" 0 0 0 0 0 0
"comp10740_seq0" 2 7 10 9 17 30
"comp44012_seq0" 0 7 0 0 0 2
"comp26292_seq1" 2 5 1 2 6 5
"comp11944_seq0" 99 88 118 129 113 130
"comp29639_seq0" 0 0 0 1 0 0
"comp14846_seq0" 57 54 37 100 114 142
"comp17216_seq0" 38 31 40 24 31 16
"comp23255_seq0" 4 4 6 9 7 40
"comp10281_seq0" 52 69 58 24 49 31
"comp58221_seq0" 0 0 0 0 0 0
"comp29821_seq0" 0 0 6 0 0 1
"comp50904_seq0" 0 0 0 0 0 0
"comp9927_seq1" 100 37 97 52 47 59
"comp35114_seq0" 0 0 2 0 1 1
"comp1728_seq0" 353 506 208 257 561 188
"comp51700_seq0" 0 5 1 0 2 1
"comp35544_seq0" 0 1 0 4 0 0
"comp17975_seq1" 5 0 2 9.97 0 6.29
"comp48584_seq0" 0 0 0 0 2 0
"comp56131_seq0" 0 0 0 0 0 0
"comp44306_seq0" 0 0 0 0 1 1
"comp24688_seq0" 4 6 10 6 5 0
"comp30283_seq0" 2 11 6 0 7 0
"comp19322_seq1" 6 5 6 8 13 16
